DEVICE_ID,PULSE_BPM,SPO2_PCT,SPO2_STATUS,PLETH,BATTERY,RED_ADC,IR_ADC
4,79,98.9,0,38672,3759.2,37690,13130
4,79,98.9,0,38093,3759.2,37697,13133
4,79,98.9,0,37621,3759.2,37707,13139
4,79,98.9,0,37248,3759.2,37723,13150
4,79,98.9,0,36950,3759.2,37738,13156
4,79,98.9,0,36722,3759.2,37761,13169
4,79,98.9,0,36544,3759.2,37782,13183
4,79,98.9,0,36384,3759.2,37805,13197
4,79,98.9,0,36230,3759.2,37828,13215
4,79,98.9,0,36063,3759.2,37853,13232
4,79,98.9,0,35857,3759.2,37883,13251
4,79,98.9,0,35592,3759.2,37908,13268
4,79,98.9,0,35262,3759.2,37938,13287
4,79,98.9,0,34853,3759.2,37959,13300
4,79,98.9,0,34365,3759.2,37986,13319
4,79,98.9,0,33785,3759.2,38013,13336
4,79,98.9,0,33131,3759.2,38045,13356
4,79,98.9,0,32409,3759.2,38069,13369
4,79,98.9,0,31606,3759.2,38095,13386
4,79,98.9,0,30761,3759.2,38120,13400
4,79,98.9,0,29874,3759.2,38145,13416
4,79,98.9,0,28957,3759.2,38167,13432
4,79,98.9,0,28031,3759.2,38192,13448
4,79,98.9,0,27103,3759.2,38215,13464
4,79,98.9,0,26191,3759.2,38244,13483
4,79,98.9,0,25297,3759.2,38266,13498
4,79,98.9,0,24414,3759.2,38291,13508
4,79,98.9,0,23568,3759.2,38312,13528
4,79,98.9,0,22761,3759.2,38333,13542
4,79,98.9,0,21985,3759.2,38357,13559
4,79,98.9,0,21242,3759.2,38385,13574
4,79,98.9,0,20536,3759.2,38407,13589
4,79,98.9,0,19857,3759.2,38434,13606
4,79,98.9,0,19203,3759.2,38460,13623
4,79,98.9,0,18575,3759.2,38482,13641
4,79,98.9,0,17960,3759.2,38501,13650
4,79,98.9,0,17364,3759.2,38495,13647
4,79,98.9,0,16781,3759.2,38459,13625
4,79,98.9,0,16218,3759.2,38387,13577
4,79,98.9,0,15701,3759.2,38283,13509
4,79,98.9,0,15264,3759.2,38151,13422
4,79,98.9,0,14955,3759.2,37993,13323
4,79,98.9,0,14854,3759.2,37836,13214
4,79,98.9,0,15035,3759.2,37681,13116
4,79,98.9,0,15579,3759.2,37568,13042
4,79,98.9,0,16561,3759.2,37478,12985
4,79,98.9,0,18035,3759.2,37410,12938
4,79,98.9,0,20024,3759.2,37356,12903
4,79,98.9,0,22508,3759.2,37312,12876
4,79,98.9,0,25437,3759.2,37283,12857
4,79,98.9,0,28740,3759.2,37260,12840
4,79,98.9,0,32319,3759.2,37249,12834
4,79,98.9,0,36053,3759.2,37244,12825
4,79,98.9,0,39814,3759.2,37250,12831
4,79,98.9,0,43481,3759.2,37250,12833
4,79,98.9,0,46929,3759.2,37262,12839
4,79,98.9,0,50059,3759.2,37270,12844
4,79,98.9,0,52780,3759.2,37280,12849
4,79,98.9,0,55036,3759.2,37288,12858
4,79,98.9,0,56791,3759.2,37302,12861
4,79,98.9,8,58045,3759.2,37316,12872
4,79,98.9,0,58798,3759.2,37327,12879
4,79,98.9,0,59092,3759.2,37347,12893
4,79,98.9,0,58974,3759.2,37372,12906
4,79,98.9,0,58500,3759.2,37391,12918
4,79,98.9,0,57740,3759.2,37419,12936
4,79,98.9,0,56747,3759.2,37443,12951
4,79,98.9,0,55583,3759.2,37466,12968
4,79,98.9,0,54297,3759.2,37489,12981
4,79,98.9,0,52943,3759.2,37513,12997
4,79,98.9,0,51574,3759.2,37530,13010
4,79,98.9,0,50199,3759.2,37546,13018
4,79,98.9,0,48864,3759.2,37556,13023
4,79,98.9,0,47584,3759.2,37563,13030
4,79,98.9,0,46384,3759.2,37567,13033
4,79,98.9,0,45267,3759.2,37570,13033
4,79,98.9,0,44244,3759.2,37574,13034
4,79,98.9,0,43309,3759.2,37576,13038
4,79,98.9,0,42484,3759.2,37585,13041
4,79,98.9,0,41754,3759.2,37594,13047
4,79,98.9,0,41120,3759.2,37604,13052
4,79,98.9,0,40582,3759.2,37619,13063
4,79,98.9,0,40119,3759.2,37634,13071
4,79,98.9,0,39718,3759.2,37653,13087
4,79,98.9,0,39365,3759.2,37677,13101
4,79,98.9,0,39046,3759.2,37697,13114
4,79,98.9,0,38740,3759.2,37722,13126
4,79,98.9,0,38419,3759.2,37747,13145
4,79,98.9,0,38083,3759.2,37773,13162
4,79,98.9,0,37697,3759.2,37802,13177
4,79,98.9,0,37260,3759.2,37830,13199
4,79,98.9,0,36751,3759.2,37857,13216
4,79,98.9,0,36170,3759.2,37884,13233
4,79,98.9,0,35515,3759.2,37913,13251
4,79,98.9,0,34788,3759.2,37938,13267
4,79,98.9,0,33986,3759.2,37971,13287
4,79,98.9,0,33124,3759.2,37997,13305
4,79,98.9,0,32202,3759.2,38028,13321
4,79,98.9,0,31233,3759.2,38053,13338
4,79,98.9,0,30231,3759.2,38082,13358
4,79,98.9,0,29205,3759.2,38106,13372
4,79,98.9,0,28161,3759.2,38135,13390
4,79,98.9,0,27114,3759.2,38164,13411
4,79,98.9,0,26064,3759.2,38188,13423
4,79,98.9,0,25033,3759.2,38213,13442
4,79,98.9,0,24029,3759.2,38243,13458
4,79,98.9,0,23051,3759.2,38266,13475
4,79,98.9,0,22101,3759.2,38291,13490
4,79,98.9,0,21185,3759.2,38311,13505
4,79,98.9,0,20297,3759.2,38337,13522
4,79,98.9,0,19444,3759.2,38360,13535
4,79,98.9,0,18627,3759.2,38386,13554
4,79,98.9,0,17845,3759.2,38414,13571
4,79,98.9,0,17092,3759.2,38440,13593
4,79,98.9,0,16360,3759.2,38463,13604
4,79,98.9,0,15643,3759.2,38488,13621
4,79,98.9,0,14947,3759.2,38501,13630
4,79,98.9,0,14273,3759.2,38505,13629
4,79,98.9,0,13613,3759.2,38470,13612
4,79,98.9,0,12975,3759.2,38405,13571
4,79,98.9,0,12397,3759.2,38310,13508
4,79,98.9,0,11899,3759.2,38181,13425
4,79,98.9,0,11541,3759.2,38030,13325
4,79,98.9,0,11397,3759.2,37868,13217
4,79,98.9,0,11547,3759.2,37717,13121
4,79,98.9,0,12088,3759.2,37603,13045
4,79,98.9,0,13108,3759.2,37515,12989
4,79,98.9,0,14645,3759.2,37452,12950
4,79,98.9,0,16729,3759.2,37401,12917
4,79,98.9,0,19348,3759.2,37366,12897
4,79,98.9,0,22459,3759.2,37348,12881
4,79,98.9,0,25969,3759.2,37335,12870
4,79,98.9,0,29771,3759.2,37333,12869
4,79,98.9,0,33735,3759.2,37334,12872
4,79,98.9,0,37721,3759.2,37344,12876
4,79,98.9,0,41584,3759.2,37353,12878
4,79,98.9,0,45194,3759.2,37365,12891
4,79,98.9,0,48448,3759.2,37383,12899
4,79,98.9,0,51241,3759.2,37403,12912
4,79,98.9,0,53518,3759.2,37420,12923
4,79,98.9,0,55246,3759.2,37439,12933
4,79,98.9,8,56419,3759.2,37457,12941
4,79,98.9,0,57051,3759.2,37479,12956
4,79,98.9,0,57179,3759.2,37503,12972
4,79,98.9,0,56850,3759.2,37528,12986
4,79,98.9,0,56138,3759.2,37555,13004
4,79,98.9,0,55111,3759.2,37582,13021
4,79,98.9,0,53844,3759.2,37610,13036
4,79,98.9,0,52397,3759.2,37632,13053
4,79,98.9,0,50829,3759.2,37655,13067
4,79,98.9,0,49215,3759.2,37675,13080
4,79,98.9,0,47600,3759.2,37690,13091
4,79,98.9,0,46014,3759.2,37698,13097
4,79,98.9,0,44486,3759.2,37707,13100
4,79,98.9,0,43047,3759.2,37711,13101
4,79,98.9,0,41718,3759.2,37715,13108
4,79,98.9,0,40516,3759.2,37715,13105
4,79,98.9,0,39439,3759.2,37718,13107
4,79,98.9,0,38520,3759.2,37723,13109
4,79,98.9,0,37728,3759.2,37725,13112
4,79,98.9,0,37064,3759.2,37731,13117
4,79,98.9,0,36527,3759.2,37740,13126
4,79,98.9,0,36097,3759.2,37757,13133
4,79,98.9,0,35765,3759.2,37771,13145
4,79,98.9,0,35508,3759.2,37790,13156
4,79,98.9,0,35297,3759.2,37806,13165
4,79,98.9,0,35116,3759.2,37831,13181
4,79,98.9,0,34927,3759.2,37855,13197
4,79,98.9,0,34714,3759.2,37881,13212
4,79,98.9,0,34469,3759.2,37906,13227
4,79,98.9,0,34168,3759.2,37929,13242
4,79,98.9,0,33797,3759.2,37958,13262
4,79,98.9,0,33338,3759.2,37986,13280
4,79,98.9,0,32790,3759.2,38015,13298
4,79,98.9,0,32147,3759.2,38039,13314
4,79,98.9,0,31423,3759.2,38062,13329
4,79,98.9,0,30609,3759.2,38086,13345
4,79,98.9,0,29722,3759.2,38111,13360
4,79,98.9,0,28776,3759.2,38133,13378
4,79,98.9,0,27779,3759.2,38153,13391
4,79,98.9,0,26749,3759.2,38181,13405
4,79,98.9,0,25699,3759.2,38200,13421
4,79,98.9,0,24647,3759.2,38225,13433
4,79,98.9,0,23600,3759.2,38250,13452
4,79,98.9,0,22575,3759.2,38272,13467
4,79,98.9,0,21581,3759.2,38296,13483
4,79,98.9,0,20624,3759.2,38320,13498
4,79,98.9,0,19706,3759.2,38343,13509
4,79,98.9,0,18819,3759.2,38364,13524
4,79,98.9,0,17979,3759.2,38386,13543
4,79,98.9,0,17186,3759.2,38414,13563
4,79,98.9,0,16409,3759.2,38441,13582
4,79,98.9,0,15664,3759.2,38458,13589
4,79,98.9,0,14942,3759.2,38462,13594
4,79,98.9,0,14244,3759.2,38439,13579
4,79,98.9,0,13578,3759.2,38386,13545
4,79,98.9,0,12944,3759.2,38302,13492
4,79,98.9,0,12391,3759.2,38192,13421
4,79,98.9,0,11959,3759.2,38063,13338
4,79,98.9,0,11729,3759.2,37923,13247
4,79,98.9,0,11766,3759.2,37804,13167
4,79,98.9,0,12166,3759.2,37717,13111
4,79,98.9,0,13011,3759.2,37655,13068
4,79,98.9,0,14341,3759.2,37614,13041
4,79,98.9,0,16190,3759.2,37580,13020
4,79,98.9,0,18518,3759.2,37565,13008
4,79,98.9,0,21280,3759.2,37559,13003
4,79,98.9,0,24404,3759.2,37562,13004
4,79,98.9,0,27772,3759.2,37568,13010
4,79,98.9,0,31273,3759.2,37580,13018
4,79,98.9,0,34771,3759.2,37597,13029
4,79,98.9,0,38125,3759.2,37620,13043
4,79,98.9,0,41217,3759.2,37643,13059
4,79,98.9,0,43939,3759.2,37671,13078
4,79,98.9,0,46213,3759.2,37696,13092
4,79,98.9,8,47963,3759.2,37725,13113
4,79,98.9,0,49179,3759.2,37755,13131
4,79,98.9,0,49845,3759.2,37786,13150
4,79,98.9,0,49991,3759.2,37817,13172
4,79,98.9,0,49650,3759.2,37851,13195
4,79,98.9,0,48863,3759.2,37886,13216
4,79,98.9,0,47712,3759.2,37915,13236
4,79,98.9,0,46253,3759.2,37946,13257
4,79,98.9,0,44569,3759.2,37976,13275
4,79,98.9,0,42724,3759.2,37999,13290
4,79,98.9,0,40767,3759.2,38013,13298
4,79,98.9,0,38780,3759.2,38021,13306
4,79,98.9,0,36813,3759.2,38028,13310
4,79,98.9,0,34907,3759.2,38026,13310
4,79,98.9,0,33119,3759.2,38021,13304
4,79,98.9,0,31483,3759.2,38019,13306
4,79,98.9,0,30035,3759.2,38015,13303
4,79,98.9,0,28793,3759.2,38016,13302
4,79,98.9,0,27766,3759.2,38017,13305
4,79,98.9,0,26963,3759.2,38021,13308
4,79,98.9,0,26371,3759.2,38027,13311
4,79,98.9,0,25979,3759.2,38038,13317
4,79,98.9,0,25766,3759.2,38054,13329
4,79,98.9,0,25687,3759.2,38069,13340
4,79,98.9,0,25727,3759.2,38088,13353
4,79,98.9,0,25836,3759.2,38107,13365
4,79,98.9,0,25971,3759.2,38128,13380
4,79,98.9,0,26106,3759.2,38149,13394
4,79,98.9,0,26198,3759.2,38175,13411
4,79,98.9,0,26205,3759.2,38201,13428
4,79,98.9,0,26118,3759.2,38232,13444
4,79,98.9,0,25910,3759.2,38253,13460
4,79,98.9,0,25572,3759.2,38282,13478
4,79,98.9,0,25104,3759.2,38307,13495
4,79,98.9,0,24514,3759.2,38333,13509
4,79,98.9,0,23802,3759.2,38357,13527
4,79,98.9,0,22984,3759.2,38379,13538
4,79,98.9,0,22077,3759.2,38400,13552
4,79,98.9,0,21091,3759.2,38422,13571
4,79,98.9,0,20061,3759.2,38445,13586
4,79,98.9,0,18993,3759.2,38464,13598
4,79,98.9,0,17925,3759.2,38485,13610
